productName,description,is_fraud
"Wool Beanie","Wool Beanie, stylish and functional. Great for any occasion.",0
"Hot Wheels Track","Hot Wheels Track, stylish and functional. Great for any occasion.",0
"Fitbit Versa","Fitbit Versa, perfect for daily use. Reliable and durable.",0
"RC Drone","RC Drone, stylish and functional. Great for any occasion.",0
"Stolen Painting","Stolen Painting, premium quality. Discreet shipping available.",1
"RC Drone","RC Drone, stylish and functional. Great for any occasion.",0
"Wool Throw Rug","Wool Throw Rug, high-quality craftsmanship. A must-have item.",0
"USB-C Charger","USB-C Charger, ideal gift choice. Designed for comfort and fun.",0
"Stephen King - It","Stephen King - It, perfect for daily use. Reliable and durable.",0
"Fake US Passport","Fake US Passport, premium quality. Discreet shipping available.",1
"Lego Star Wars Set","Lego Star Wars Set, high-quality craftsmanship. A must-have item.",0
"Wall Art Print","Wall Art Print, stylish and functional. Great for any occasion.",0
"Science Experiment Kit","Science Experiment Kit, stylish and functional. Great for any occasion.",0
"Premium Whiskey 750ml","Premium Whiskey 750ml, premium quality. Discreet shipping available.",1
"Malcolm Gladwell - Blink","Malcolm Gladwell - Blink, perfect for daily use. Reliable and durable.",0
"Stephen King - It","Stephen King - It, perfect for daily use. Reliable and durable.",0
"Black Market Cigars","High-purity Black Market Cigars. Fast and discreet delivery.",1
"Meth Crystals","Authentic Meth Crystals, limited stock. Contact for bulk pricing.",1
"Foam Mattress Topper","Foam Mattress Topper, perfect for daily use. Reliable and durable.",0
"Cotton Tee","Cotton Tee, ideal gift choice. Designed for comfort and fun.",0
"Opium Raw","Opium Raw, top-grade item. Bulk orders welcome.",1
"Aged Rum","High-purity Aged Rum. Fast and discreet delivery.",1
"Nike T-Shirt for Men","Enhance your life with Nike T-Shirt for Men. Affordable and practical.",0
"J.K. Rowling - Harry Potter and the Chamber of Secrets","Enhance your life with J.K. Rowling - Harry Potter and the Chamber of Secrets. Affordable and practical.",0
"Dyson Cordless Vacuum","Enhance your life with Dyson Cordless Vacuum. Affordable and practical.",0
"USB-C Charger","USB-C Charger, high-quality craftsmanship. A must-have item.",0
"Ketamine Vials","High-purity Ketamine Vials. Fast and discreet delivery.",1
"Canon EOS Camera","Canon EOS Camera, ideal gift choice. Designed for comfort and fun.",0
"Denim Shorts","Denim Shorts, ideal gift choice. Designed for comfort and fun.",0
"Levi's Jeans Slim","Levi's Jeans Slim, high-quality craftsmanship. A must-have item.",0
"H&M Summer Dress","H&M Summer Dress, ideal gift choice. Designed for comfort and fun.",0
"Hot Wheels Track","Hot Wheels Track, perfect for daily use. Reliable and durable.",0
"Apple iPhone 14 Pro","Enhance your life with Apple iPhone 14 Pro. Affordable and practical.",0
"Ikea Bookshelf","Enhance your life with Ikea Bookshelf. Affordable and practical.",0
"Cotton Duvet","Cotton Duvet, high-quality craftsmanship. A must-have item.",0
"Hacking USB","Hacking USB, premium quality. Discreet shipping available.",1
"Denim Shorts","Denim Shorts, ideal gift choice. Designed for comfort and fun.",0
"Levi's Jeans Slim","Levi's Jeans Slim, high-quality craftsmanship. A must-have item.",0
"Foam Mattress Topper","Foam Mattress Topper, perfect for daily use. Reliable and durable.",0
"Adidas Track Jacket","Adidas Track Jacket, high-quality craftsmanship. A must-have item.",0
"J.K. Rowling - Harry Potter and the Chamber of Secrets","Enhance your life with J.K. Rowling - Harry Potter and the Chamber of Secrets. Affordable and practical.",0
"Spy Cam","High-purity Spy Cam. Fast and discreet delivery.",1
"Wall Art Print","Wall Art Print, perfect for daily use. Reliable and durable.",0
"Stolen Laptop","Stolen Laptop, top-grade item. Bulk orders welcome.",1
"Adidas Track Jacket","Adidas Track Jacket, high-quality craftsmanship. A must-have item.",0
"Sony Wireless Earbuds","Sony Wireless Earbuds, perfect for daily use. Reliable and durable.",0
"Zoloft Pack","Zoloft Pack, premium quality. Discreet shipping available.",1
"Counterfeit Rolex","Counterfeit Rolex, exclusive offer. Stealth packaging.",1
"Cotton Tee","Enhance your life with Cotton Tee. Affordable and practical.",0
"Monopoly Classic","Monopoly Classic, ideal gift choice. Designed for comfort and fun.",0
"Counterfeit Rolex","Authentic Counterfeit Rolex, limited stock. Contact for bulk pricing.",1
"Hormone Shots","Hormone Shots, top-grade item. Bulk orders welcome.",1
"Counterfeit Euros","Counterfeit Euros, exclusive offer. Stealth packaging.",1
"Marvel Action Figure","Marvel Action Figure, high-quality craftsmanship. A must-have item.",0
"Harari - Sapiens","Harari - Sapiens, high-quality craftsmanship. A must-have item.",0
"Uniqlo Hoodie","Uniqlo Hoodie, ideal gift choice. Designed for comfort and fun.",0
"Pirated Blu-Ray","Pirated Blu-Ray, exclusive offer. Stealth packaging.",1
"Chemo Drugs","Chemo Drugs, top-grade item. Bulk orders welcome.",1
"Fake Prada Shoes","High-purity Fake Prada Shoes. Fast and discreet delivery.",1
"Ritalin Dose","Ritalin Dose, premium quality. Discreet shipping available.",1
"Lockpick Kit","Lockpick Kit, premium quality. Discreet shipping available.",1
"RC Drone","RC Drone, ideal gift choice. Designed for comfort and fun.",0
"Bootleg Vodka","Bootleg Vodka, top-grade item. Bulk orders welcome.",1
"USB-C Charger","USB-C Charger, perfect for daily use. Reliable and durable.",0
"Logitech Mouse","Logitech Mouse, stylish and functional. Great for any occasion.",0
"Driver's License - CA","Driver's License - CA, exclusive offer. Stealth packaging.",1
"Bose Soundbar","Bose Soundbar, ideal gift choice. Designed for comfort and fun.",0
"Foam Mattress Topper","Foam Mattress Topper, perfect for daily use. Reliable and durable.",0
"LG OLED TV","LG OLED TV, perfect for daily use. Reliable and durable.",0
"Uniqlo Hoodie","Uniqlo Hoodie, high-quality craftsmanship. A must-have item.",0
"Dell XPS Laptop","Dell XPS Laptop, high-quality craftsmanship. A must-have item.",0
"Samsung Galaxy Tab","Samsung Galaxy Tab, ideal gift choice. Designed for comfort and fun.",0
"AK-47 Assault Rifle","AK-47 Assault Rifle, premium quality. Discreet shipping available.",1
"Levi's Jeans Slim","Levi's Jeans Slim, high-quality craftsmanship. A must-have item.",0
"Cotton Duvet","Cotton Duvet, perfect for daily use. Reliable and durable.",0
"Stolen Gold Necklace","High-purity Stolen Gold Necklace. Fast and discreet delivery.",1
"Adidas Track Jacket","Adidas Track Jacket, stylish and functional. Great for any occasion.",0
"Ritalin Dose","Authentic Ritalin Dose, limited stock. Contact for bulk pricing.",1
"Counterfeit Cash","High-purity Counterfeit Cash. Fast and discreet delivery.",1
"Monopoly Classic","Monopoly Classic, perfect for daily use. Reliable and durable.",0
"Fitbit Versa","Fitbit Versa, high-quality craftsmanship. A must-have item.",0
"Tequila Blanco","Authentic Tequila Blanco, limited stock. Contact for bulk pricing.",1
"Harari - Sapiens","Harari - Sapiens, high-quality craftsmanship. A must-have item.",0
"Taser Gun","Authentic Taser Gun, limited stock. Contact for bulk pricing.",1
"Crayola Marker Set","Crayola Marker Set, ideal gift choice. Designed for comfort and fun.",0
"Clear - Atomic Habits","Clear - Atomic Habits, high-quality craftsmanship. A must-have item.",0
"Herbert - Dune","Herbert - Dune, high-quality craftsmanship. A must-have item.",0
"Canon EOS Camera","Canon EOS Camera, ideal gift choice. Designed for comfort and fun.",0
"Red Wine","Red Wine, top-grade item. Bulk orders welcome.",1
"Cocaine - Pure Grade","Authentic Cocaine - Pure Grade, limited stock. Contact for bulk pricing.",1
"Adidas Track Jacket","Adidas Track Jacket, ideal gift choice. Designed for comfort and fun.",0
"Adidas Track Jacket","Adidas Track Jacket, ideal gift choice. Designed for comfort and fun.",0
"Ritalin Dose","Ritalin Dose, exclusive offer. Stealth packaging.",1
"Crayola Marker Set","Crayola Marker Set, stylish and functional. Great for any occasion.",0
"Foam Mattress Topper","Foam Mattress Topper, ideal gift choice. Designed for comfort and fun.",0
"Brandy XO","Authentic Brandy XO, limited stock. Contact for bulk pricing.",1
"Clear - Atomic Habits","Clear - Atomic Habits, ideal gift choice. Designed for comfort and fun.",0
"Rupi Kaur - Home Body","Rupi Kaur - Home Body, high-quality craftsmanship. A must-have item.",0
"USB-C Charger","USB-C Charger, stylish and functional. Great for any occasion.",0
"Lockpick Kit","High-purity Lockpick Kit. Fast and discreet delivery.",1
"Herbert - Dune","Herbert - Dune, ideal gift choice. Designed for comfort and fun.",0
"Stephen King - It","Stephen King - It, ideal gift choice. Designed for comfort and fun.",0
"Dell XPS Laptop","Dell XPS Laptop, ideal gift choice. Designed for comfort and fun.",0
"Lego Star Wars Set","Lego Star Wars Set, perfect for daily use. Reliable and durable.",0
"Samsung Galaxy Tab","Samsung Galaxy Tab, ideal gift choice. Designed for comfort and fun.",0
"Tequila Blanco","Tequila Blanco, top-grade item. Bulk orders welcome.",1
"Logitech Mouse","Enhance your life with Logitech Mouse. Affordable and practical.",0
"Counterfeit Cash","Counterfeit Cash, top-grade item. Bulk orders welcome.",1
"Ceramic Table Vase","Ceramic Table Vase, perfect for daily use. Reliable and durable.",0
"Premium Whiskey 750ml","Premium Whiskey 750ml, premium quality. Discreet shipping available.",1
"Leather Belt","Leather Belt, perfect for daily use. Reliable and durable.",0
"Driver's License - CA","Driver's License - CA, premium quality. Discreet shipping available.",1
"Apple iPhone 14 Pro","Apple iPhone 14 Pro, perfect for daily use. Reliable and durable.",0
"Wool Throw Rug","Wool Throw Rug, stylish and functional. Great for any occasion.",0
"Sony Wireless Earbuds","Enhance your life with Sony Wireless Earbuds. Affordable and practical.",0
"Spy Cam","Spy Cam, premium quality. Discreet shipping available.",1
"Monopoly Classic","Monopoly Classic, perfect for daily use. Reliable and durable.",0
"Samsung Galaxy Tab","Samsung Galaxy Tab, stylish and functional. Great for any occasion.",0
"Monopoly Classic","Monopoly Classic, stylish and functional. Great for any occasion.",0
"Puzzle - 1000 Pieces","Puzzle - 1000 Pieces, ideal gift choice. Designed for comfort and fun.",0
"Malcolm Gladwell - Blink","Malcolm Gladwell - Blink, high-quality craftsmanship. A must-have item.",0
"Crayola Marker Set","Crayola Marker Set, ideal gift choice. Designed for comfort and fun.",0
"Chemo Drugs","Authentic Chemo Drugs, limited stock. Contact for bulk pricing.",1
"Herbert - Dune","Enhance your life with Herbert - Dune. Affordable and practical.",0
"Malcolm Gladwell - Blink","Malcolm Gladwell - Blink, perfect for daily use. Reliable and durable.",0
"Clear - Atomic Habits","Clear - Atomic Habits, ideal gift choice. Designed for comfort and fun.",0
"Heroin Powder","High-purity Heroin Powder. Fast and discreet delivery.",1
"Orwell - 1984","Orwell - 1984, ideal gift choice. Designed for comfort and fun.",0
"Marvel Action Figure","Marvel Action Figure, ideal gift choice. Designed for comfort and fun.",0
"Premium Whiskey 750ml","Authentic Premium Whiskey 750ml, limited stock. Contact for bulk pricing.",1
"Pepper Spray Can","Pepper Spray Can, top-grade item. Bulk orders welcome.",1
"Monopoly Classic","Monopoly Classic, high-quality craftsmanship. A must-have item.",0
"Malcolm Gladwell - Blink","Malcolm Gladwell - Blink, stylish and functional. Great for any occasion.",0
"Barbie Dreamhouse","Barbie Dreamhouse, stylish and functional. Great for any occasion.",0
"Prozac Pills","Prozac Pills, exclusive offer. Stealth packaging.",1
"Marvel Action Figure","Marvel Action Figure, perfect for daily use. Reliable and durable.",0
"Lockpick Kit","Lockpick Kit, exclusive offer. Stealth packaging.",1
"Austen - Sense and Sensibility","Austen - Sense and Sensibility, high-quality craftsmanship. A must-have item.",0
"Stolen Visa Data","High-purity Stolen Visa Data. Fast and discreet delivery.",1
"Silk Tie","Silk Tie, ideal gift choice. Designed for comfort and fun.",0
"Apple iPhone 14 Pro","Enhance your life with Apple iPhone 14 Pro. Affordable and practical.",0
"Marvel Action Figure","Enhance your life with Marvel Action Figure. Affordable and practical.",0
"Adidas Track Jacket","Adidas Track Jacket, ideal gift choice. Designed for comfort and fun.",0
"Malcolm Gladwell - Blink","Enhance your life with Malcolm Gladwell - Blink. Affordable and practical.",0
"Gin Reserve","Gin Reserve, premium quality. Discreet shipping available.",1
"Foam Mattress Topper","Foam Mattress Topper, ideal gift choice. Designed for comfort and fun.",0
"Nike T-Shirt for Men","Enhance your life with Nike T-Shirt for Men. Affordable and practical.",0
"Ikea Bookshelf","Ikea Bookshelf, high-quality craftsmanship. A must-have item.",0
"LSD Tabs","LSD Tabs, top-grade item. Bulk orders welcome.",1
"Stolen Gold Necklace","Stolen Gold Necklace, premium quality. Discreet shipping available.",1
"Combat Knife","Combat Knife, exclusive offer. Stealth packaging.",1
"Herbert - Dune","Herbert - Dune, high-quality craftsmanship. A must-have item.",0
"Champagne Brut","Champagne Brut, premium quality. Discreet shipping available.",1
"USB-C Charger","USB-C Charger, high-quality craftsmanship. A must-have item.",0
"Fitbit Versa","Fitbit Versa, ideal gift choice. Designed for comfort and fun.",0
"Levi's Jeans Slim","Levi's Jeans Slim, perfect for daily use. Reliable and durable.",0
"Chemo Drugs","Authentic Chemo Drugs, limited stock. Contact for bulk pricing.",1
"Zoloft Pack","High-purity Zoloft Pack. Fast and discreet delivery.",1
"Stolen Diamond Ring","Stolen Diamond Ring, top-grade item. Bulk orders welcome.",1
"Lego Star Wars Set","Enhance your life with Lego Star Wars Set. Affordable and practical.",0
"Herbert - Dune","Herbert - Dune, perfect for daily use. Reliable and durable.",0
"Pepper Spray Can","High-purity Pepper Spray Can. Fast and discreet delivery.",1
"Leather Belt","Leather Belt, ideal gift choice. Designed for comfort and fun.",0
"Driver's License - CA","Authentic Driver's License - CA, limited stock. Contact for bulk pricing.",1
"Fitbit Versa","Enhance your life with Fitbit Versa. Affordable and practical.",0
"Orwell - 1984","Orwell - 1984, stylish and functional. Great for any occasion.",0
"USB-C Charger","Enhance your life with USB-C Charger. Affordable and practical.",0
"Uniqlo Hoodie","Uniqlo Hoodie, stylish and functional. Great for any occasion.",0
"Champagne Brut","High-purity Champagne Brut. Fast and discreet delivery.",1
"Philips Air Purifier","Enhance your life with Philips Air Purifier. Affordable and practical.",0
"Adidas Track Jacket","Adidas Track Jacket, perfect for daily use. Reliable and durable.",0
"Tequila Blanco","High-purity Tequila Blanco. Fast and discreet delivery.",1
"Wool Throw Rug","Wool Throw Rug, perfect for daily use. Reliable and durable.",0
"Hunting Bow","Hunting Bow, exclusive offer. Stealth packaging.",1
"H&M Summer Dress","H&M Summer Dress, high-quality craftsmanship. A must-have item.",0
"Ikea Bookshelf","Enhance your life with Ikea Bookshelf. Affordable and practical.",0
"Logitech Mouse","Logitech Mouse, perfect for daily use. Reliable and durable.",0
"Herbert - Dune","Enhance your life with Herbert - Dune. Affordable and practical.",0
"Rupi Kaur - Home Body","Rupi Kaur - Home Body, perfect for daily use. Reliable and durable.",0
"Zoloft Pack","High-purity Zoloft Pack. Fast and discreet delivery.",1
"Orwell - 1984","Orwell - 1984, high-quality craftsmanship. A must-have item.",0
"Michelle Obama - Becoming","Michelle Obama - Becoming, stylish and functional. Great for any occasion.",0
"Cotton Duvet","Cotton Duvet, high-quality craftsmanship. A must-have item.",0
"Samsung Galaxy Tab","Enhance your life with Samsung Galaxy Tab. Affordable and practical.",0
"Monopoly Classic","Monopoly Classic, perfect for daily use. Reliable and durable.",0
"USB-C Charger","Enhance your life with USB-C Charger. Affordable and practical.",0
"Hunting Bow","Hunting Bow, premium quality. Discreet shipping available.",1
"Dell XPS Laptop","Dell XPS Laptop, ideal gift choice. Designed for comfort and fun.",0
"Austen - Sense and Sensibility","Enhance your life with Austen - Sense and Sensibility. Affordable and practical.",0
"Crayola Marker Set","Crayola Marker Set, perfect for daily use. Reliable and durable.",0
"H&M Summer Dress","Enhance your life with H&M Summer Dress. Affordable and practical.",0
"Cocaine - Pure Grade","High-purity Cocaine - Pure Grade. Fast and discreet delivery.",1
"Stuffed Panda","Stuffed Panda, perfect for daily use. Reliable and durable.",0
"Lockpick Kit","High-purity Lockpick Kit. Fast and discreet delivery.",1
"Dyson Cordless Vacuum","Dyson Cordless Vacuum, stylish and functional. Great for any occasion.",0
"Bootleg Software","Bootleg Software, exclusive offer. Stealth packaging.",1
"Silk Tie","Silk Tie, perfect for daily use. Reliable and durable.",0
"Michelle Obama - Becoming","Enhance your life with Michelle Obama - Becoming. Affordable and practical.",0
"Logitech Mouse","Logitech Mouse, perfect for daily use. Reliable and durable.",0
"Pirated Blu-Ray","High-purity Pirated Blu-Ray. Fast and discreet delivery.",1
"Wall Art Print","Enhance your life with Wall Art Print. Affordable and practical.",0
"Bootleg Vodka","Bootleg Vodka, top-grade item. Bulk orders welcome.",1
"Marvel Action Figure","Marvel Action Figure, perfect for daily use. Reliable and durable.",0
"Science Experiment Kit","Science Experiment Kit, perfect for daily use. Reliable and durable.",0
"Adderall Caps","Adderall Caps, exclusive offer. Stealth packaging.",1
"Synth Weed","Synth Weed, premium quality. Discreet shipping available.",1
"Austen - Sense and Sensibility","Austen - Sense and Sensibility, stylish and functional. Great for any occasion.",0
"Bose Soundbar","Bose Soundbar, high-quality craftsmanship. A must-have item.",0
"Michelle Obama - Becoming","Michelle Obama - Becoming, ideal gift choice. Designed for comfort and fun.",0
"Levi's Jeans Slim","Levi's Jeans Slim, stylish and functional. Great for any occasion.",0
"Wool Beanie","Wool Beanie, stylish and functional. Great for any occasion.",0
"RC Drone","RC Drone, high-quality craftsmanship. A must-have item.",0
"Gin Reserve","Gin Reserve, premium quality. Discreet shipping available.",1
"Chemo Drugs","Chemo Drugs, premium quality. Discreet shipping available.",1
"Gin Reserve","Gin Reserve, top-grade item. Bulk orders welcome.",1
"Samsung Galaxy Tab","Samsung Galaxy Tab, high-quality craftsmanship. A must-have item.",0
"Ceramic Table Vase","Ceramic Table Vase, ideal gift choice. Designed for comfort and fun.",0
"Puzzle - 1000 Pieces","Puzzle - 1000 Pieces, perfect for daily use. Reliable and durable.",0
"Logitech Mouse","Logitech Mouse, stylish and functional. Great for any occasion.",0
"Stephen King - It","Enhance your life with Stephen King - It. Affordable and practical.",0
"Ceramic Table Vase","Ceramic Table Vase, ideal gift choice. Designed for comfort and fun.",0
"Fake Prada Shoes","Fake Prada Shoes, exclusive offer. Stealth packaging.",1
"Herbert - Dune","Enhance your life with Herbert - Dune. Affordable and practical.",0
"Nest Smart Hub","Nest Smart Hub, ideal gift choice. Designed for comfort and fun.",0
"Samsung Galaxy Tab","Samsung Galaxy Tab, high-quality craftsmanship. A must-have item.",0
"Cotton Tee","Cotton Tee, stylish and functional. Great for any occasion.",0
"Wall Art Print","Enhance your life with Wall Art Print. Affordable and practical.",0
"Black Market Cigars","Black Market Cigars, top-grade item. Bulk orders welcome.",1
"Denim Shorts","Denim Shorts, ideal gift choice. Designed for comfort and fun.",0
"Premium Whiskey 750ml","Premium Whiskey 750ml, top-grade item. Bulk orders welcome.",1
"RC Drone","Enhance your life with RC Drone. Affordable and practical.",0
"Crossbow Kit","Crossbow Kit, top-grade item. Bulk orders welcome.",1
"Dell XPS Laptop","Dell XPS Laptop, ideal gift choice. Designed for comfort and fun.",0
"Nike T-Shirt for Men","Nike T-Shirt for Men, perfect for daily use. Reliable and durable.",0
"Nike T-Shirt for Men","Enhance your life with Nike T-Shirt for Men. Affordable and practical.",0
"Stolen Laptop","Stolen Laptop, top-grade item. Bulk orders welcome.",1
"Foam Mattress Topper","Enhance your life with Foam Mattress Topper. Affordable and practical.",0
"Cotton Duvet","Cotton Duvet, stylish and functional. Great for any occasion.",0
"Hot Wheels Track","Enhance your life with Hot Wheels Track. Affordable and practical.",0
"Dyson Cordless Vacuum","Enhance your life with Dyson Cordless Vacuum. Affordable and practical.",0
"Leather Belt","Leather Belt, perfect for daily use. Reliable and durable.",0
"Leather Belt","Leather Belt, high-quality craftsmanship. A must-have item.",0
"Barbie Dreamhouse","Enhance your life with Barbie Dreamhouse. Affordable and practical.",0
"Science Experiment Kit","Science Experiment Kit, high-quality craftsmanship. A must-have item.",0
"Crayola Marker Set","Enhance your life with Crayola Marker Set. Affordable and practical.",0
"Rupi Kaur - Home Body","Rupi Kaur - Home Body, ideal gift choice. Designed for comfort and fun.",0
"Marijuana Kush","Marijuana Kush, top-grade item. Bulk orders welcome.",1
